i j S OS WN ST sp hpcd hpcdp ppcd ppcdp
Armenia Gissar 0.855421686746988 0.2 0.978494623655914 0.778494623655914 2665.24557787692 0.854945286314878 0.951633313475325 1.55120109260843 1.5421790975107
Armenia Guriev 0.767441860465116 0.5 0.973451327433628 0.473451327433628 1171.71056349504 1.10579643402448 1.15824527674501 0.638992591913641 0.758744805395358
Armenia Kabarda 0.590361445783133 0.414634146341463 0.87434554973822 0.459711403396757 300.294304987368 0.977051146137732 1.23884475467224 0.794260495687321 1.30103743635025
Armenia Kostroma 0.820224719101124 0.25 0.976 0.726 1442.23292390617 1.17882346360819 1.09886906510755 1.78276492951683 2.04286677510931
Armenia Kurgan 0.813953488372093 0.25 0.973684210526316 0.723684210526316 2401.47531814644 1.14304622524405 1.05802625807714 1.10140564335323 1.31792587470511
Armenia Kursk 0.714285714285714 0.5 0.922222222222222 0.422222222222222 1361.47061988302 1.0877621467327 1.44735293904102 1.38872612099154 1.70248195834007
Armenia Kustanai 0.839080459770115 0.428571428571429 0.979057591623037 0.550486163051608 2331.13426558196 1.03966796399783 1.03107566677471 1.28421294513374 1.38416577923737
Armenia Middle Ural 0.828571428571429 0.428571428571429 0.975609756097561 0.547038327526132 2301.75215044891 1.17953473449264 1.2705181299907 1.02994578072997 1.17225074819273
Armenia Moscow 0.767441860465116 0.6 0.977358490566038 0.377358490566038 1475.67480396081 1.13834576485169 1.33795508330215 1.08693130704334 1.22601905682722
Armenia Moyyunkum 0.78 0.5 0.974025974025974 0.474025974025974 2908.17192487961 0.898597886802573 1.02455011953126 0.858383925074999 0.909736852023803
Armenia Nakhichevan 0.583333333333333 0.266666666666667 0.845070422535211 0.578403755868545 51.1449227745505 0.746679154024904 1.17864230098146 0.688419255364045 1.06900876239457
Armenia North Kyrgyzstan 0.764705882352941 0.692307692307692 0.98019801980198 0.287890327494288 3326.90930351624 0.858864859014163 0.928709736805067 1.02861306737025 1.13975818850165
Armenia Novosibirsk 0.834862385321101 0.333333333333333 0.973063973063973 0.63973063973064 3928.7147207779 1.18993549623699 1.10594630329285 1.41995542517885 1.49383928470035
Armenia Pavlodar 0.8 0.428571428571429 0.974193548387097 0.545622119815668 3553.57959507242 1.20648597772184 1.13312821166201 1.01984299491077 1.28350972042428
Armenia Poland 0.76 0.5 0.962616822429907 0.462616822429907 2966.975933054 1.07216612679248 1.23229483404071 1.70494880664982 1.8816813049001
Armenia Slovakia 0.846153846153846 0.6 0.981220657276995 0.381220657276995 2822.13564285609 1.15984998429846 1.22446360448282 1.83793715273671 1.85335789372552
Armenia Southwestern Azerbajan 0.373493975903614 0.413333333333333 0.748571428571429 0.335238095238095 235.853410306508 0.588357180950719 1.37413007716259 0.412884757054507 0.978743076827233
Armenia Sweden 0.828571428571429 0.2 0.973684210526316 0.773684210526316 3558.57140663179 1.01150955518534 1.03240851293711 1.13113773239797 1.31060964988756
Armenia Syugaty 0.873417721518987 1 1 0 3782.90518551885 0.900054840406719 0.984853395618592 0.999667701292629 0.989516769930573
