"","i","j","S","OS","WN","ST","sp","hpcd","hpcdp","ppcd","ppcdp"
"152","Amur-Bureya","Chimkent",1,NA,1,NA,7190.60556123119,0.912044233853626,0.85576381832106,1.17473808192787,1.07809515996043
"153","Amur-Bureya","Dzhungarsky Alatau",0.964285714285714,NA,1,NA,6115.23412227563,1.08304640887933,0.99950563904842,1.02046890937355,0.996031959880792
"154","Amur-Bureya","East Balkhash",1,NA,1,NA,6202.74849116785,1.32242545158574,1.21225976107347,1.93962707841683,1.76630785167581
"155","Amur-Bureya","East Pamir",1,NA,1,NA,6860.72050091559,0.831347704901216,0.796369890119497,1.35611400141923,1.25399200192211
"156","Amur-Bureya","Gissar",1,NA,1,NA,7394.79550920509,0.936195800437157,0.882035712808561,1.55494470258318,1.42894782830882
"157","Amur-Bureya","Guriev",1,NA,1,NA,9036.4717646584,1.42112649316492,1.32064280172902,1.79412346588569,1.65109369271683
"158","Amur-Bureya","Kabarda",1,NA,1,NA,10240.723613776,1.03968792135147,0.966174633983184,1.02408272328299,0.946964298694302
"159","Amur-Bureya","Kamchatka",0.666666666666667,0.0909090909090908,0.841269841269841,0.75036075036075,2590.12817779461,0.923295489599442,1.48541202734456,0.614991518468305,0.839559849950808
"160","Amur-Bureya","Khabarovsk",0.446808510638298,0.185185185185185,0.572815533980582,0.387630348795397,211.037826717616,0.0888235428193487,0.364347810628127,0.640208034904297,1.11455187431577
"161","Amur-Bureya","Khasan",0.764705882352941,0.333333333333333,0.971428571428572,0.638095238095238,825.588924996844,0.581630457794601,0.830385632925763,0.455383119936501,0.527701414864086
"162","Amur-Bureya","Kostroma",0.821428571428571,0.5,0.98876404494382,0.48876404494382,10245.5455891994,0.841838570623393,1.06621290039698,0.659782791327825,0.689177992112187
"163","Amur-Bureya","Krasnojarsk",0.617021276595745,0.478260869565217,0.862068965517241,0.383808095952024,4262.24980608576,0.653041749443803,1.22108013067488,0.51841410114506,0.708920746443895
